Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Fast Food, Pizza Chain, 14"" Pizza, cheese topping, thin crust",A,100g,304,14.17,26.54,15.68,2,3.08,6.932,,35,581
"Fast foods, croissant, with egg, cheese, and ham",A,100g,312,12.45,15.92,22.09,,,11.497,,140,711
"Fast foods, submarine sandwich, with cold cuts",A,100g,200,9.58,22.39,8.17,,,2.986,,16,724
"Fast foods, hamburger; single, regular patty; with condiments and vegetables",A,100g,254,11.74,24.81,12.25,,,3.755,,24,458
"Fast foods, cheeseburger; double, regular patty, with condiments and vegetables",A,100g,251,12.8,21.2,12.7,,,5.251,,36,633
"Fast Food, Pizza Chain, 14"" Pizza, cheese topping, thick crust",A,100g,272,12,31.33,10.99,1.5,3.18,4.679,,24,533
"Fast foods, croissant, with egg, cheese, and bacon",A,100g,320,12.58,18.33,21.98,,,11.963,,167,689
"Sandwiches and burgers, steak sandwich",A,100g,225,14.87,25.47,6.9,,,1.87,,36,391
"Fast foods, hamburger; single, regular patty; with condiments",A,100g,258,13.07,28.79,10.07,1.8,5.22,4,,29,491
"Fast foods, cheeseburger; double, regular patty; plain",A,100g,308,17.16,20.8,17.4,0.7,4.02,7.08,0.963,55,621
"Fast Food, Pizza Chain, 14"" Pizza, cheese topping, regular crust",A,100g,264,11.91,32.58,9.51,1.7,4.02,4.221,,21,535
"Fast foods, croissant, with egg and cheese",A,100g,290,10.07,19.14,19.45,,,11.075,,170,434
"Sandwiches and burgers, roast beef sandwich with cheese",A,100g,269,18.31,25.78,10.23,,,5.13,,44,928
"Fast foods, hamburger; single, regular patty; plain",A,100g,295,14.74,33.71,11.24,1.2,5.79,3.561,0.569,33,440
"Pizza, pepperoni topping, regular crust, frozen, cooked",A,100g,296,11.21,28.51,15.2,2.2,,4.792,,15,618
"Fast foods, cheeseburger; single, regular patty, with condiments and vegetables",A,100g,233,11.58,18.27,12.85,,,5.966,,34,634
"Fast Foods, crispy chicken filet sandwich, with lettuce, tomato and mayonnaise",A,100g,245,12.42,22.46,11.7,1.4,,2.119,,29,650
"Fast foods, roast beef sandwich, plain",A,100g,249,15.47,24.06,9.9,,,2.594,,37,570
"Fast foods, fish sandwich, with tartar sauce and cheese",A,100g,286,11.26,26.03,15.63,,,4.448,,37,513
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",A,100g,257,15.38,22.61,11.76,1.2,4.99,3.372,,38,605
"Fast foods, cheeseburger; single, regular patty, with condiments",A,100g,270,13.49,25.46,12.9,1.9,5.24,5.797,,39,628
"Pizza, meat and vegetable topping, rising crust, frozen, cooked",A,100g,271,12.63,28.78,11.75,2.3,7.26,4.586,,19,640
"Fast foods, hotdog, with corn flour coating (corndog)",A,100g,263,9.6,31.88,10.8,,,2.949,,45,556
"Fast foods, fish sandwich, with tartar sauce",A,100g,273,10.72,25.96,14.41,,,3.313,,35,389
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",A,100g,295,12.98,22.64,16.97,0.2,2.87,6.396,,133,550
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",A,100g,220,17.19,19.87,8.05,1.2,4.68,3.109,0.071,46,630
"Fast foods, cheeseburger; single, regular patty; plain",A,100g,303,15.13,29.89,13.93,1,5.47,5.245,0.714,41,589
"Pizza, meat and vegetable topping, regular crust, frozen, cooked",A,100g,276,11.28,25.14,14.43,2.2,4.85,5.083,,16,555
"Fast foods, hotdog, with chili",A,100g,260,11.85,27.45,11.79,,,4.258,,45,421
"Fast foods, egg and cheese sandwich",A,100g,233,10.69,17.76,13.3,,,4.538,,199,551
"Fast foods, bagel, with ham, egg, and cheese",A,100g,253,13.97,27.43,9.68,0.2,3.65,4.121,,127,659
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",A,100g,282,15.95,22.99,14.07,0.2,2.97,5.419,,130,530
"Fast foods, english muffin, with egg, cheese, and sausage",A,100g,286,13.38,17.44,18.1,0.2,1.49,6.928,,163,470
"Pizza, cheese topping, rising crust, frozen, cooked",A,100g,260,12.37,32.91,8.78,2.5,5.09,3.825,,16,556
"Steamed bun, filled with ground pork and broth",B,100g,237,8.1,25.2,11.6,0.3,,,,21,219
Satay Beef Bun,C,100g,240,11,28,8.9,1.2,5.4,3,0.074,20,500
Pork floss bun,C,100g,330,13,45,11,3.9,10,3.1,,33,350
Sausage bun (2018),C,100g,290,11,33,13,1.8,7.2,3.7,0.044,45,420
Egg and beef sandwich,C,100g,250,11,20,14,1.8,1.7,3.9,,120,410
Fish burger,C,100g,280,11,27,14,1.4,4,3.7,0.15,31,420
"Pizza, Seafood, Tomato Sauce, Average/ Thin Curst",C,100g,220,13,23,8.6,2.1,2.6,3.7,0.17,37,510
Pineapple bun with pureed red bean,C,100g,320,8.4,50,9.4,3.2,16,2.7,,23,63
Tuna fish bun (2018),C,100g,270,11,35,9.1,1.6,7.3,2.8,0.068,37,270
Ham and egg sandwich,C,100g,240,11,21,12,1.5,2.5,3.3,,150,440
Cheese burger,C,100g,240,13,20,12,1.2,3.9,5,0.33,38,500
"Pizza, Meat/ Processed Meat, Tomato Sauce, Pan Crust",C,100g,250,12,26,10,2.2,2.4,4.2,0.19,24,470
Luncheon meat and egg sandwich,C,100g,260,11,16,17,1.7,1.6,4.6,,140,430
"Pork chop bun, with onions",C,100g,250,15,25,9.4,1.2,2.8,3.1,0.11,35,300
Cream-filled bread with shredded coconut,C,100g,390,8,45,19,1.8,13,6.6,,29,190
"Pizza, Meat/ Processed Meat, Tomato Sauce, Cheese Filled Crust",C,100g,250,12,26,11,2.2,2.9,4.9,0.23,23,570
Cheese and ham bun,C,100g,320,12,42,11,2.1,9.4,4,0.15,31,310
Ham and cheese sandwich,C,100g,260,11,29,11,1.4,2.7,4.8,,25,740
"Pizza, Meat, Tomato Sauce, Average/ Thin Crust",C,100g,260,13,26,11,2.3,3.4,5,0.23,30,510
Bun with chicken in white sauce,C,100g,280,9.9,37,9.7,1.8,9,3,0.1,32,250
Tuna fish bun (2003),C,100g,290,11,36,12,1.4,14,3,,37,230
"Pizza, Processed Meat with Meat, Tomato Sauce, Average/ Thin Crust",C,100g,250,13,23,12,2.2,3.1,5.1,0.18,30,510
Sweet potato bun,C,100g,250,6.6,43,6,2.3,11,2.3,0.07,14,160
"Pizza bread (contains cheese, meat and vegetables)",C,100g,260,11,31,10,1.9,8.4,4.3,0.17,34,540
Baked barbecued pork bun,C,100g,280,9.4,39,9.9,1.4,12,3.2,,31,290
"Pizza, Processed Meat, Tomato Sauce, Average/ Thin Crust",C,100g,270,14,27,12,2.4,2.5,5.3,0.18,28,600
"""Pineapple"" bun with barbecued pork filling",C,100g,310,9.7,41,12,1.5,12,3.9,0.065,33,260
Cocktail bun (2008),C,100g,400,8.3,47,19,2.2,16,10,0.43,31,240
Tomato and egg sandwich,C,100g,190,8.3,16,10,1.6,2.4,2.7,,140,220
"Pizza, Hawaiian/Tropical Island, Tomato Sauce, Pan Crust",C,100g,240,11,29,8.5,2.2,4.1,3.7,0.16,15,440
Curry beef bun,C,100g,290,9.9,39,11,2.1,9,3.7,0.15,27,240
Cream bun,C,100g,280,7.3,43,8.6,1.2,14,3.8,0.12,29,150
Corned beef sandwich,C,100g,250,9.7,26,12,1.7,2.6,4.2,,17,610
"Pizza, Hawaiian, Tomato Sauce, Average/ Thin Crust",C,100g,250,12,26,11,2.3,4.9,5.4,0.23,22,580
Luncheon bun,C,100g,290,10,33,14,1.9,6,4.9,0.11,32,320
Chestnut puree bun,C,100g,300,8,43,10,5.2,11,3.7,,31,120
Ham and egg bun,C,100g,250,11,31,9,3.6,6.8,2.8,,100,260
"Pizza, Cheese, Tomato Sauce, Average/ Thin Crust",C,100g,270,14,26,12,2.5,2.6,6.2,0.27,24,430
Egg salad sandwich,C,100g,200,8.4,20,9.6,1.7,2.8,2.6,0.095,110,380
Veggie burger,C,100g,220,11,18,12,2.7,3.4,4.9,0.074,9,420
Red bean puree bun,C,100g,290,8.2,49,6.5,3.7,17,1.8,,15,64
Sausage bun (2002),C,100g,280,11,31,13,3.8,6.7,3.5,,50,370
Cocktail bun (2018),C,100g,390,8,47,19,2.4,13,8.8,0.41,27,230
Tuna sandwich,C,100g,210,10,23,8.6,1.6,4.6,2.1,0.087,35,420
"Pizza, supreme, takeaway style",D,100g,221,13,20.5,9.8,3,0.6,4.3,0.20673,21,570
"Pizza, supreme, purchased frozen, baked",D,100g,266,14,26.3,11.6,3.2,0.9,4.1,0.29568,19,350
"Pizza, ham & pineapple, takeaway style",D,100g,218,12.8,23.1,8.3,3.1,2.7,3.94,0.19814,18,632
"Pizza, ham & pineapple, purchased frozen, baked",D,100g,223,11.5,28.2,6,3.1,4.8,2.58,0.11905,18,468
"Hamburger, white roll, beef patty, with salad, independent takeaway outlet",D,100g,202,12.1,18,9.1,2.6,1.3,3.7,0.24623,26,439
"Side dishes, potato salad",A,100g,114,1.53,13.53,6.03,,,1.03,,60,328
"Fast foods, coleslaw",A,100g,153,0.95,14.89,9.91,1.9,12.19,1.599,0.037,4,203
"Fast foods, taco salad with chili con carne",A,100g,111,6.67,10.18,5.03,,,2.299,,2,339
"Fast foods, taco salad",A,100g,141,6.68,11.91,7.46,,,3.446,,22,385
"Fast foods, salad, vegetables tossed, without dressing, with turkey, ham and cheese",A,100g,82,7.98,1.45,4.93,,,2.508,,43,228
"Fast foods, salad, vegetable, tossed, without dressing, with shrimp",A,100g,45,6.15,2.8,1.05,,,0.276,,76,207
"Fast foods, salad, vegetable, tossed, without dressing, with pasta and seafood",A,100g,91,3.94,7.67,5,,,0.616,,12,377
"Fast foods, salad, vegetable, tossed, without dressing, with chicken",A,100g,48,8,1.71,1,,,0.265,,33,96
"Fast foods, salad, vegetable, tossed, without dressing, with cheese and egg",A,100g,47,4.04,2.19,2.67,,,1.371,,45,55
"Fast foods, salad, vegetable, tossed, without dressing",A,100g,16,1.25,3.22,0.07,,,0.01,,0,26
"Fish, tuna salad",A,100g,187,16.04,9.41,9.26,0,,1.544,,13,402
"Fast foods, coleslaw",A,100g,153,0.95,14.89,9.91,1.9,12.19,1.599,0.037,4,203
"Fast foods, taco salad with chili con carne",A,100g,111,6.67,10.18,5.03,,,2.299,,2,339
"Fast foods, taco salad",A,100g,141,6.68,11.91,7.46,,,3.446,,22,385
"Fast foods, salad, vegetables tossed, without dressing, with turkey, ham and cheese",A,100g,82,7.98,1.45,4.93,,,2.508,,43,228
"Fast foods, salad, vegetable, tossed, without dressing, with shrimp",A,100g,45,6.15,2.8,1.05,,,0.276,,76,207
"Fast foods, salad, vegetable, tossed, without dressing, with pasta and seafood",A,100g,91,3.94,7.67,5,,,0.616,,12,377
"Fast foods, salad, vegetable, tossed, without dressing, with chicken",A,100g,48,8,1.71,1,,,0.265,,33,96
"Fast foods, salad, vegetable, tossed, without dressing, with cheese and egg",A,100g,47,4.04,2.19,2.67,,,1.371,,45,55
"Fast foods, salad, vegetable, tossed, without dressing",A,100g,16,1.25,3.22,0.07,,,0.01,,0,26
"Fish, tuna salad",A,100g,187,16.04,9.41,9.26,0,,1.544,,13,402
"Side dishes, potato salad",A,100g,114,1.53,13.53,6.03,,,1.03,,60,328
"Snacks, granola bars, hard, chocolate chip",A,100g,438,7.3,72.1,16.3,4.4,,11.41,,0,344
"Snacks, rice cakes, brown rice, sesame seed",A,100g,392,7.6,81.5,3.8,5.4,,0.54,,0,227
"Snacks, tortilla chips, plain, yellow corn",A,100g,492,7.18,67.31,21.57,4.7,0.97,2.462,0.069,0,281
"Snacks, taro chips",A,100g,498,2.3,68.1,24.9,7.2,3.82,6.43,,0,342
"Snacks, potato chips, sour-cream-and-onion-flavor",A,100g,531,8.1,51.5,33.9,5.2,,8.89,,7,625
"Snacks, potato sticks",A,100g,522,6.7,53.3,34.4,3.4,0.22,8.88,,0,250
"Snacks, popcorn, microwave, low fat",A,100g,424,12.6,72,9.5,14.2,0.92,1.415,,0,884
"Snacks, corn-based, extruded, onion-flavor",A,100g,499,7.7,65.1,22.6,3.9,4.83,4.34,,0,981
"Snacks, granola bars, hard, almond",A,100g,495,7.7,62,25.5,4.8,,12.51,,0,256
"Snacks, plantain chips, salted",A,100g,531,2.28,63.84,29.59,3.5,0.92,8.337,0.185,0,202
"Snacks, potato chips, fat free, salted",A,100g,379,9.64,83.76,0.6,7.5,3.69,0.15,,0,643
"Snacks, potato chips, barbecue-flavor",A,100g,491,7.7,52.8,32.4,4.4,,8.05,,0,750
"Snacks, rice cakes, brown rice, multigrain",A,100g,387,8.5,80.1,3.5,3,,0.56,,0,252
"Snacks, tortilla chips, low fat, unsalted",A,100g,416,11,80.1,5.7,5.3,0.85,0.85,,0,15
"Snacks, corn-based, extruded, cones, nacho-flavor",A,100g,536,6.5,57.3,31.7,1,,26.79,,5,952
"Popcorn, microwave, regular (butter) flavor, made with palm oil",A,100g,528,8.69,55.69,30,9.9,0.54,6.305,,0,771
"Popcorn, sugar syrup/caramel, fat-free",A,100g,381,2,90.06,1.4,2.5,64.68,0.2,0,0,286
"Snacks, pork skins, plain",A,100g,544,61.3,0,31.3,0,0,11.37,,95,1838
"Snacks, rice cakes, brown rice, corn",A,100g,385,8.4,81.2,3.2,2.9,,0.63,,0,291
"Potato chips, without salt, reduced fat",A,100g,487,7.1,67.8,20.8,6.1,0.22,4.16,,0,8
"Snacks, corn-based, extruded, cones, plain",A,100g,510,5.8,62.9,26.9,1.1,,22.75,,0,1022
"Pretzels, soft, unsalted",A,100g,338,8.2,71.04,3.1,1.7,0.25,0.695,,3,690
"Snacks, granola bar, fruit-filled, nonfat",A,100g,342,5.9,77.6,0.9,7.4,55.34,0.2,,0,16
"Snacks, popcorn, cheese-flavor",A,100g,526,9.3,51.6,33.2,9.9,,6.41,,11,889
"Snacks, potato chips, plain, salted",A,100g,542,6.56,50.81,36.4,4.4,0.37,4.014,0.048,0,525
"Popcorn, microwave, low fat and sodium",A,100g,429,12.6,73.39,9.5,14.2,0.54,1.415,,0,490
"Snacks, trail mix, regular, unsalted",A,100g,462,13.8,44.9,29.4,,,5.55,,0,10
"Snacks, corn-based, extruded, chips, barbecue-flavor",A,100g,523,7,56.2,32.7,5.2,,4.46,,0,763
"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",A,100g,527,8.69,55.71,29.97,9.9,0.54,6.904,9.466,4,771
"Cheese puffs and twists, corn based, low fat",A,100g,432,8.5,72.35,12.1,10.7,7.29,2.1,,1,1285
"Snacks, popcorn, caramel-coated, without peanuts",A,100g,431,3.8,79.1,12.8,5.2,53.19,3.61,0,5,206
"Snacks, beef sticks, smoked",A,100g,550,21.5,5.4,49.6,,,20.8,,133,1480
"Snacks, tortilla chips, light (baked with less oil)",A,100g,465,8.7,73.4,15.2,5.7,0.53,2.837,,3,1003
"Snacks, sesame sticks, wheat-based, unsalted",A,100g,541,10.9,46.5,36.7,,,6.48,,0,29
"Snacks, corn-based, extruded, chips, plain",A,100g,518,6.03,63.01,28.41,5.3,1.16,3.612,0.634,0,616
"Snacks, sweet potato chips",A,100g,496,3.5,64.83,24.7,3.5,7,2.207,,0,35
"Tortilla chips, low fat, baked without fat",A,100g,415,11,80,5.7,5.3,0.67,0.85,,0,419
"Snacks, popcorn, caramel-coated, with peanuts",A,100g,400,6.4,80.7,7.8,3.8,45.36,1.04,0,0,295
"Snacks, granola bars, soft, uncoated, nut and raisin",A,100g,454,8,63.6,20.4,5.6,,9.54,,1,254
"Snacks, corn-based, extruded, chips, unsalted",A,100g,557,6.6,57.4,33.4,4.4,1.41,4.344,,0,15
"Snacks, rice cakes, brown rice, sesame seed, unsalted",A,100g,392,7.6,81.5,3.8,,,0.54,,0,4
"Snacks, beef jerky, chopped and formed",A,100g,407,33.2,11.04,25.6,1.8,9,10.85,,48,2213
"Snacks, popcorn, unpopped kernels",A,100g,375,10.87,73.12,4.31,12.7,0.91,0.64,,,7
"Snacks, tortilla chips, nacho-flavor, reduced fat",A,100g,445,8.7,71.6,15.2,4.8,,2.91,,3,1003
"Snacks, popcorn, oil-popped, microwave, regular flavor",A,100g,583,7.29,45.06,43.55,8.1,0.46,6.82,,0,1058
"Snacks, granola bars, soft, uncoated, chocolate chip",A,100g,418,5.65,70.2,16.57,3.8,28.92,6.061,,0,179
"Snacks, tortilla chips, unsalted, white corn",A,100g,503,7.79,65.32,23.36,5.3,1,2.458,,0,15
"Snacks, rice cakes, brown rice, multigrain, unsalted",A,100g,387,8.5,80.1,3.5,,,0.56,,0,4
"Snacks, cornnuts, nacho-flavor",A,100g,438,9.4,71.6,14.2,8,,2.56,,2,634
"Pretzels, soft",A,100g,338,8.2,69.39,3.1,1.7,0.25,0.695,,3,1404
"Snacks, rice cakes, brown rice, buckwheat, unsalted",A,100g,380,9,80.1,3.5,,,0.64,,0,4
"Snacks, popcorn, air-popped",A,100g,387,12.94,77.9,4.54,14.5,0.87,0.57,,0,8
"Snacks, cornnuts, barbecue-flavor",A,100g,436,9,71.7,14.3,8.4,,2.58,,0,976
"Snacks, granola bar, with coconut, chocolate coated",A,100g,531,5.2,55.2,32.2,6.2,34.27,22.72,,0,152
"Snacks, rice cakes, brown rice, plain, unsalted",A,100g,387,8.2,81.5,2.8,4.2,0.88,0.57,,0,26
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",A,100g,432,9.8,62.2,20,4.2,,5.59,,1,328
"Granola bar, soft, milk chocolate coated, peanut butter",A,100g,536,9.6,54.1,31.2,3.8,23.63,17.065,,12,193
"Snacks, pretzels, hard, plain, made with unenriched flour, unsalted",A,100g,381,9.1,79.2,3.5,2.8,,0.75,,0,289
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",A,100g,509,10.2,53.4,31.1,2.8,,17.01,,12,193
"Snacks, banana chips",A,100g,519,2.3,58.4,33.6,7.7,35.34,28.97,,0,6
"Snacks, yucca (cassava) chips, salted",A,100g,515,1.34,69.23,25.91,3.7,3.36,8.689,0.15,,296
"Snacks, pretzels, hard, plain, made with unenriched flour, salted",A,100g,381,9.1,79.2,3.5,2.8,,0.75,,0,1715
"Snacks, potato chips, reduced fat",A,100g,471,7.1,66.9,20.8,5.9,0.22,4.16,,0,492
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",A,100g,466,5.8,63.8,24.9,3.4,,14.22,,5,200
"Snacks, tortilla chips, taco-flavor",A,100g,480,7.9,63.1,24.2,5.3,,4.64,,5,787
"Snacks, bagel chips",A,100g,451,12.34,66.36,15.14,4.1,6.02,6.835,0.057,0,233
"Snacks, potato chips, plain, unsalted",A,100g,536,7,52.9,34.6,4.8,0.22,10.96,,0,8
"Snacks, rice cakes, brown rice, buckwheat",A,100g,380,9,80.1,3.5,3.8,,0.64,,0,116
"Snacks, potato chips, cheese-flavor",A,100g,496,8.5,57.7,27.2,5.2,,8.6,,4,793
"Snacks, granola bars, oats, fruits and nut",A,100g,397,7.7,77.42,6.3,5.3,43.5,0.73,,0,251
"Snacks, trail mix, tropical",A,100g,407,6.3,65.6,17.1,,,8.48,,0,10
"Snacks, granola bars, hard, peanut butter",A,100g,483,9.8,62.3,23.8,2.9,,3.2,,0,283
"Snacks, granola bars, soft, uncoated, raisin",A,100g,448,7.6,66.4,17.8,4.2,,9.57,,1,282
"Snacks, trail mix, regular",A,100g,462,13.8,44.9,29.4,,,5.55,,0,229
"Snacks, vegetable chips, made from garden vegetables",A,100g,473,5.32,60.43,23.3,4.7,4.04,1.762,0.091,0,966
"Snacks, popcorn, oil-popped, white popcorn",A,100g,500,9,57.2,28.1,10,,4.89,,0,884
"Snacks, rice cakes, brown rice, plain",A,100g,387,8.2,81.5,2.8,4.2,0.88,0.57,,0,326
"Snacks, granola bars, soft, uncoated, peanut butter",A,100g,426,10.5,64.4,15.8,4.3,,3.65,,1,409
"Snacks, tortilla chips, ranch-flavor",A,100g,501,7.19,62.74,24.63,4,3.03,3.539,0.345,,519
"Snacks, pita chips, salted",A,100g,457,11.79,68.26,15.2,3.8,4.76,1.342,0.038,0,854
"Snacks, popcorn, air-popped, white popcorn",A,100g,382,12,77.9,4.2,15.1,,0.57,,0,4
"Snacks, pretzels, hard, whole-wheat",A,100g,362,11.1,81.2,2.6,7.7,,0.56,,0,203
"Snacks, corn cakes",A,100g,387,8.1,83.4,2.4,1.9,23.47,0.42,,0,488
"Snacks, granola bars, hard, plain",A,100g,471,10.1,64.4,19.8,5.3,,2.37,,0,294
"Snacks, granola bars, soft, uncoated, plain",A,100g,443,7.4,67.3,17.2,4.6,,7.24,,1,278
"Snacks, tortilla chips, nacho cheese",A,100g,514,8.15,61.74,26.07,4.6,3.79,3.936,0.216,,615
"Snacks, granola bites, mixed flavors",A,100g,451,7.17,66.27,17.5,5.7,30,9.888,0,0,33
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",A,100g,558,5.76,54.1,35.76,2.2,2.76,5.512,0.806,4,896
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",A,100g,458,7.5,70.9,16.7,,,7.68,,0,569
"Snacks, sesame sticks, wheat-based, salted",A,100g,541,10.9,46.5,36.7,2.8,0.19,6.48,,0,1488
"Snacks, crisped rice bar, chocolate chip",A,100g,404,5.1,73,13.5,2.2,,5.24,,0,278
"Snacks, granola bars, hard, peanut",A,100g,479,11,63.7,21.4,4.3,33.96,2.52,,0,278
"Snacks, tortilla chips, plain, white corn",A,100g,489,7.79,65.56,23.36,5.3,1,2.81,0.071,0,421
"Snacks, granola bar, chewy, reduced sugar, all flavors",A,100g,412,5.55,69.4,12.5,3.1,20.8,5.008,2.187,0,45
"Snacks, corn cakes, very low sodium",A,100g,387,8.1,83.4,2.4,,,0.42,,0,28
"Snacks, pretzels, hard, plain, salted",A,100g,380,10.34,79.76,2.63,3,2.76,0.501,0,0,1357
"Snacks, rice cakes, brown rice, rye",A,100g,386,8.1,79.9,3.8,4,,0.58,,0,110
"Beef floss, with salt, soy sauce and sugar, dried",B,100g,445,8.2,67.7,15.7,,,,,169,1945.7
"Beef, curried, fried",B,100g,326,45.9,29.5,2.7,ND,,,,116,2075
"Beef, dried",B,100g,550,45.6,1.9,40,,,,,120,412.4
"Pork floss, “Fujian” style, with salt, soy sauce and sugar",B,100g,493,25.1,39.7,26,,,,,111,1419.9
"Pork floss, with salt, soy sauce and sugar (Mean)",B,100g,396,23.4,49.7,11.5,,,,,111,469
"Hawthorn sheet, processed with sugar and starch",B,100g,326,1,80,0.8,2.6,,,,,115.5
"Hawthorn jelly strip, sweet",B,100g,303,0.6,74.6,0.6,1.6,,,,,192.1
"Hawthorn jelly, processed snack",B,100g,178,0.2,44,0.3,0.6,,,,,34.3
"Broad bean, deep fried, spiced",B,100g,418,12.8,61.7,13.6,1.2,,,,,109.8
"Potato slice, fried",B,100g,615,4,41.9,48.4,1.9,,,,,60.9
"“Hollow rice ball”, glutinous rice flour, deep fried",B,100g,452,6.8,72,15.2,0.2,,,,27,5.8
"“Pineapple wafer ball”, pineapple flavored cookie",B,100g,392,10.4,82.9,2.1,0.1,,,,,30
"“Longxiapian”, wheat flour with shrimp flavor, flake shape",B,100g,342,0.6,85.5,0.1,1.8,,,,,639.5
"Chicken, floss, with salt, soy sauce and sugar, dried",B,100g,440,7.2,65.8,16.4,,,,,81,1687.8
"Mutton, dried",B,100g,588,28.2,13.7,46.7,,,,,166,184
French Fries,C,100g,270,3.9,31,14,3.5,0.28,1.9,0.16,1.4,280
Deep-Fried Onion Rings (No seasoning),C,100g,350,3.8,32,23,2.8,4.1,4,0.22,6.9,420
Dehydrated vegetables and fruits chips,C,100g,460,4.4,55,25,9.5,34,5.5,0.095,0.59,130
Popcorn (popped),C,100g,500,4.5,58,28,7.4,30,20,0.027,0.35,27
"Bar, snack, fruit filled, baked",D,100g,322,3.9,71.1,3,4.5,31.4,1.27,0.01008,12,199
"Bar, muesli, plain or with dried fruit, yoghurt-coated",D,100g,386,6.6,59.5,14,6.4,23.1,8.85,0.00668,12,74
"Bar, cherry & coconut centre, dark chocolate-coated",D,100g,416,4.4,52.6,22.4,4.7,48.6,16.31,0,2,46
"Potato, fries, fast food outlet, deep fried, monounsaturated oil, salted",D,100g,309,4.8,35.7,16.4,3.1,0.2,1.63,0.22265,0,193
"Potato, chips, regular, independent takeaway outlet, deep fried, blended oil, salted",D,100g,232,3.8,28.2,11.6,3,0,3.01,0.09855,8,180
"Potato straws, French fries, plain",D,100g,509,6.9,51.6,31,3.2,0.2,13.37,0.2367,0,576
"Potato crisps or chips, salt & vinegar flavoured",D,100g,492,6.8,43.6,32.6,3.6,1.4,7.84,0.06236,0,970
"Potato crisps or chips, plain, salted",D,100g,503,6,45.8,33.3,3.2,0.9,7.5,0.10835,0,592
"Popcorn, commercial, butter flavoured, salted",D,100g,471,9.1,49.6,26.5,8.8,0.6,16.54,3.20513,6,626
"Extruded snack, cheese flavoured",D,100g,478,8.8,53.5,25.8,3.2,2.5,11.3,0.1477,9,1000
"Corn chips, plain, toasted, salted",D,100g,477,7.5,56,25,5.2,0.6,5.81,0.1673,0,420
Shrimp cracker,E,100g,539,8,53.3,32.6,3.8,2.1,,,0,495
"Snacks, corn-based, extruded, chips, barbecue-flavor",A,100g,523,7,56.2,32.7,5.2,,4.46,,0,763
"Snacks, popcorn, oil-popped, microwave, regular flavor",A,100g,583,7.29,45.06,43.55,8.1,0.46,6.82,,0,1058
"Snacks, pretzels, hard, plain, made with unenriched flour, unsalted",A,100g,381,9.1,79.2,3.5,2.8,,0.75,,0,289
"Snacks, granola bars, soft, uncoated, nut and raisin",A,100g,454,8,63.6,20.4,5.6,,9.54,,1,254
"Snacks, bagel chips",A,100g,451,12.34,66.36,15.14,4.1,6.02,6.835,0.057,0,233
"Snacks, popcorn, air-popped, white popcorn",A,100g,382,12,77.9,4.2,15.1,,0.57,,0,4
"Snacks, rice cakes, brown rice, plain",A,100g,387,8.2,81.5,2.8,4.2,0.88,0.57,,0,326
"Snacks, popcorn, unpopped kernels",A,100g,375,10.87,73.12,4.31,12.7,0.91,0.64,,,7
"Snacks, potato chips, cheese-flavor",A,100g,496,8.5,57.7,27.2,5.2,,8.6,,4,793
"Snacks, corn-based, extruded, chips, plain",A,100g,518,6.03,63.01,28.41,5.3,1.16,3.612,0.634,0,616
"Snacks, popcorn, air-popped",A,100g,387,12.94,77.9,4.54,14.5,0.87,0.57,,0,8
"Snacks, pretzels, hard, plain, made with unenriched flour, salted",A,100g,381,9.1,79.2,3.5,2.8,,0.75,,0,1715
"Snacks, granola bars, soft, uncoated, chocolate chip",A,100g,418,5.65,70.2,16.57,3.8,28.92,6.061,,0,179
"Snacks, vegetable chips, made from garden vegetables",A,100g,473,5.32,60.43,23.3,4.7,4.04,1.762,0.091,0,966
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",A,100g,558,5.76,54.1,35.76,2.2,2.76,5.512,0.806,4,896
"Snacks, pretzels, hard, whole-wheat",A,100g,362,11.1,81.2,2.6,7.7,,0.56,,0,203
"Snacks, popcorn, microwave, low fat",A,100g,424,12.6,72,9.5,14.2,0.92,1.415,,0,884
"Snacks, granola bars, hard, peanut butter",A,100g,483,9.8,62.3,23.8,2.9,,3.2,,0,283
"Snacks, granola bars, soft, uncoated, plain",A,100g,443,7.4,67.3,17.2,4.6,,7.24,,1,278
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",A,100g,432,9.8,62.2,20,4.2,,5.59,,1,328
"Snacks, cornnuts, nacho-flavor",A,100g,438,9.4,71.6,14.2,8,,2.56,,2,634
